S.No.,Index,⌀ / 2(mm),r.θ(mm)
1,C1,1.8169716162749117,
2,C2,1.080436371413123,
3,C3,1.1073755862341685,
4,C4,1.5190674896262366,
5,C5,1.3505286043297746,
6,C6,1.422152278356302,
7,C7,1.4224286524512635,
8,C8,1.2797268361057013,
9,C9,1.4773783860921628,
10,C10,3.5827488189085974,
11,C11,3.633296498267303,
12,C12,3.7772742574348626,
13,A1,,7.199488280181286
14,A2,,4.652994967437809
15,A3,,3.6859898153112827
16,A4,,6.422528182053439
17,A5,,6.5085134977698
18,A6,,10.584852593183292
19,A7,,2.478307774447028
20,A8,,7.769685204447568
21,A9,,4.24668079386691
22,A10,,11.136878064337495
23,A11,,2.006968887924526
24,A12,,5.441227286292735
25,A13,,5.191193456232543
26,A14,,3.779731556955075
27,A15,,3.1972110767859365
28,A16,,12.273561916702418
29,A17,,7.88146112294155
30,A18,,9.301782728303731
31,A19,,9.32390352089483
32,A20,,5.9879255396468976
33,A21,,8.485124658981864
34,A22,,3.9750233890027964
35,A23,,2.6237395413954836
36,A24,,3.475476459972133
37,A25,,8.034774834421292
38,A26,,20.145185637781054
39,A27,,5.026619289737867
40,A28,,88.62349144023298
41,A29,,43.122332222980674
42,A30,,9.618841926298131
43,A31,,24.905652204040212
44,A32,,24.67907684078927
